ネットワークやシステムに対する不正アクセスを検出するシステムは何ですか？,WAF,IDS,DMZ,AES,IDS
不正アクセスを検知し、遮断するシステムとして正しいものはどれですか？,IPS,SSL,PKI,NAC,IPS
Webアプリケーションへの攻撃から保護するシステムとして正しいものはどれですか？,WAF,DMZ,IPsec,CSIRT,WAF
複数のセキュリティ機能を統合した管理システムはどれですか？,UTM,CISO,APT,BEC,UTM
ネットワーク通信を暗号化し、安全に送受信するためのプロトコルは何ですか？,IPsec,TLS,MAC,UPS,IPsec
内部ネットワークと外部ネットワークの間に配置される中間領域は何と呼ばれますか？,DMZ,NAC,SSL,CRL,DMZ
公開鍵と秘密鍵を利用し、暗号化通信や署名を実現する基盤は何ですか？,PKI,RFP,SIEM,DKIM,PKI
高速で安全なデータ暗号化に使用される暗号アルゴリズムは何ですか？,AES,SPF,ERP,WPA2,AES
HTTPS通信で利用される暗号化プロトコルはどれですか？,SSL,BEC,APT,CSIRT,SSL
SSLの後継として、安全な通信を確保するためのプロトコルは何ですか？,TLS,SPF,WPA,CRL,TLS
電子メールの送信者が正規であることを確認する仕組みはどれですか？,UTM,SPF,SOC,APT,SPF
電子メールの改ざんを検出し、正規性を保証する仕組みは何ですか？,SIEM,DKIM,SSH,MTTR,DKIM
SPFとDKIMを組み合わせ、フィッシングメール対策に使用される認証技術は何ですか？,PKI,DMARC,NISC,WAF,DMARC
ネットワークへの不正なアクセスを防止するための仕組みは何ですか？,CRL,NAC,MAC,SSH,NAC
脆弱性の深刻度を数値化し、評価するためのスコアリングシステムは何ですか？,IPsec,CVSS,BEC,CSIRT,CVSS
高度な標的型サイバー攻撃を指す用語は何ですか？,NAC,APT,CISO,WPA,APT
業務メールアカウントを利用し、不正な取引を誘導する攻撃手法は何ですか？,SOC,BEC,PKI,SaaS,BEC
送信ポート25番の制限により、迷惑メール送信を防ぐ取り組みは何ですか？,DKIM,OP25B,NISC,SSL,OP25B
インシデント対応を専門に行う組織は何と呼ばれますか？,SLA,CSIRT,CISO,SOC,CSIRT
組織の情報セキュリティ責任者を示す役職名は何ですか？,CVSS,CISO,BCP,BPR,CISO
日本のサイバーセキュリティ戦略を担う内閣府の組織は何ですか？,SaaS,CSIRT,NISC,J-CSIP,NISC
サイバー攻撃の情報共有を目的とする、日本の官民連携の仕組みは何ですか？,UTM,SOC,J-CSIP,NAC,J-CSIP
サイバー攻撃の分析や対応支援を行う、日本の専門組織は何ですか？,TLS,RPA,J-CRAT,CISO,J-CRAT
脆弱性情報の公開と管理を行う、日本の情報セキュリティサイトは何ですか？,WPA2,AES,JVN,DMZ,JVN
日本の情報セキュリティ対策の中心的機関である独立行政法人は何ですか？,BCP,ISMAP,IPA,WAF,IPA
インターネット経由でソフトウェアを提供するサービスモデルは何と呼ばれますか？,ERP,IaaS,SaaS,PaaS,SaaS
開発プラットフォームをインターネット経由で提供するサービスモデルは何ですか？,SCM,SaaS,PaaS,RPA,PaaS
サーバーやインフラをインターネット経由で提供するサービスモデルは何ですか？,BCP,PaaS,IaaS,BPO,IaaS
災害時の事業継続を目的とした計画を示す略語は何ですか？,CVSS,RFP,BCP,ITIL,BCP
クラウドサービスのセキュリティ基準を評価する政府の枠組みは何ですか？,SLA,WAF,ISMAP,SOC,ISMAP
業務プロセスの一部を外部委託するビジネスモデルは何と呼ばれますか？,SaaS,ERP,SSH,BPO,BPO
企業資源を統合的に管理するシステムは何ですか？,SCM,WAF,MAC,ERP,ERP
サプライチェーン全体を最適化するための管理システムは何ですか？,ERP,APT,NISC,SCM,SCM
業務プロセスを抜本的に再設計し、効率化を図る手法は何ですか？,RPA,ITIL,SOC,BPR,BPR
定型業務の自動化を実現する技術は何と呼ばれますか？,SCM,BPO,NAC,RPA,RPA
ITサービス管理のベストプラクティスをまとめたフレームワークは何ですか？,SLA,RFP,CRL,ITIL,ITIL
サービス提供者と利用者間で定める合意書は何ですか？,OLA,WPA,SIEM,SLA,SLA
同一組織内の部門間で定める合意書は何ですか？,SLA,NAC,CSIRT,OLA,OLA
製品やサービスに関する情報を取得するための文書は何と呼ばれますか？,RFP,WPA2,SOC,RFI,RFI
提案依頼書として知られる、ベンダーに提案を求める文書は何ですか？,RFI,SLA,BEC,RFP,RFP
無線LANのセキュリティ規格の一つで、初期の暗号化技術として知られるものは何ですか？,WPA2,AES,SSL,WPA,WPA
WPAの後継で、より強固な暗号化技術を採用した無線LANセキュリティ規格は何ですか？,MAC,DMZ,SPF,WPA2,WPA2
セキュリティ情報とイベントを統合的に管理するシステムは何ですか？,SOC,SIEM,NAC,CISO,SIEM
OSやネットワークにおけるアクセス制御の仕組みの一つで、特権を最小化する手法は何ですか？,WAF,MAC,PKI,SSH,MAC
デジタル証明書の失効情報を公開するリストは何と呼ばれますか？,SSL,NAC,CRL,CVSS,CRL
安全なリモートアクセスを提供するためのプロトコルは何ですか？,SMTP-AUTH,TLS,SSH,SIEM,SSH
メールサーバーが認証を必要とする仕組みで、不正中継を防止する技術は何ですか？,AES,SPF,SMTP-AUTH,CSIRT,SMTP-AUTH
電源供給が停止した際にバックアップ電源を提供する装置は何と呼ばれますか？,IPsec,MTTR,UPS,WAF,UPS
システムの復旧にかかる平均時間を示す指標は何ですか？,MBTF,BCP,MTTR,OLA,MTTR
システムが故障するまでの平均時間を示す指標は何ですか？,MTTR,MBTF,RFI,ITIL,MBTF
ネットワークアクセスを制御し、セキュリティを強化する仕組みは何ですか？,NAC,SIEM,PKI,APT,NAC
サイバー攻撃に対処するための組織運用を担う、監視センターは何と呼ばれますか？,SOC,SIEM,WAF,BEC,SOC
クレジットカード情報を安全に取り扱うためのセキュリティ基準は何ですか？,PCI DSS,RPA,TLS,SLA,PCI DSS
